ward_id,ward_name,households,total_population,male_population,female_population,children_0_6,sc_population,st_population,literate_population,illiterate_population,total_workers,main_workers,marginal_workers,agricultural_workers,household_industry_workers,other_workers,non_workers,female_percentage,children_percentage,literacy_rate,worker_percentage,non_worker_percentage,data_year
0001,Ahmadabad (M Corp.) WARD NO.-0001,11525,49408,25983,23425,4175,739,140,41890,7518,18376,16792,1584,66,233,16441,31032,47.411350388601036,8.450048575129534,84.78384067357513,37.192357512953365,62.807642487046635,2011
0002,Ahmadabad (M Corp.) WARD NO.-0002,11023,53630,28064,25566,5346,903,142,44768,8862,18135,16878,1257,61,317,16452,35495,47.67107961961589,9.968301323885886,83.4756666045124,33.81502890173411,66.1849710982659,2011
0003,Ahmadabad (M Corp.) WARD NO.-0003,13170,63664,32788,30876,6625,1362,161,52300,11364,21140,19562,1578,49,466,18971,42524,48.498366423724555,10.406195023875346,82.15003769791404,33.205579291279214,66.79442070872078,2011
0004,Ahmadabad (M Corp.) WARD NO.-0004,14006,68150,35157,32993,8440,2368,383,50412,17738,23015,21394,1621,35,580,20734,45135,48.41232575201761,12.384446074834923,73.97212032281732,33.771093176815846,66.22890682318415,2011
0005,Ahmadabad (M Corp.) WARD NO.-0005,13552,66855,34170,32685,8105,3321,576,51133,15722,22397,20487,1910,29,262,20151,44458,48.889387480367965,12.123251813626505,76.48343429810784,33.5008600703014,66.4991399296986,2011
0006,Ahmadabad (M Corp.) WARD NO.-0006,12459,66246,33512,32734,7000,2951,30,53674,12572,22190,20800,1390,18,313,20434,44056,49.41279473477644,10.566675723817287,81.02225040002415,33.4963620445008,66.5036379554992,2011
0007,Ahmadabad (M Corp.) WARD NO.-0007,18855,83109,42139,40970,6418,3741,755,71921,11188,30075,28108,1967,143,566,27324,53034,49.29670673452936,7.722388670300449,86.53816072868162,36.18741652528607,63.81258347471393,2011
0008,Ahmadabad (M Corp.) WARD NO.-0008,27754,123116,63283,59833,12698,14006,2854,95243,27873,45066,42769,2297,123,357,42169,78050,48.598882354852336,10.313850352513077,77.36037558075311,36.604503070275186,63.395496929724814,2011
0009,Ahmadabad (M Corp.) WARD NO.-0009,16138,68911,36303,32608,5264,11501,1858,57110,11801,26154,24771,1383,103,259,24353,42757,47.31900567398529,7.638838501835702,82.8750126975374,37.95330208529843,62.046697914701575,2011
0010,Ahmadabad (M Corp.) WARD NO.-0010,12839,55647,28073,27574,4530,1687,648,44699,10948,20422,18262,2160,37,211,17931,35225,49.551638003845675,8.140600571459377,80.32598343127214,36.699193128111126,63.300806871888874,2011
0011,Ahmadabad (M Corp.) WARD NO.-0011,16979,75051,39278,35773,6842,8508,1711,61046,14005,27840,26395,1445,51,368,25886,47211,47.66492118692622,9.11646746878789,81.3393559046515,37.09477555262421,62.90522444737579,2011
0012,Ahmadabad (M Corp.) WARD NO.-0012,20829,88032,45421,42611,6966,2128,1129,75991,12041,32118,30600,1518,39,1891,28565,55914,48.403989458378774,7.913031624863685,86.32201926572156,36.484460196292254,63.515539803707746,2011
0013,Ahmadabad (M Corp.) WARD NO.-0013,17237,77814,41158,36656,7194,6562,695,64999,12815,27002,25348,1654,85,493,24701,50812,47.10720435911276,9.245122985581,83.53124116482896,34.700696532757604,65.2993034672424,2011
0014,Ahmadabad (M Corp.) WARD NO.-0014,16290,75687,39933,35754,8775,26681,958,54772,20915,28546,26141,2405,51,542,25488,47141,47.23928812081335,11.59380078481113,72.36645659096014,37.715856091534874,62.284143908465126,2011
0015,Ahmadabad (M Corp.) WARD NO.-0015,14362,68566,35857,32709,7414,13834,2151,52338,16228,23089,21220,1869,39,227,20916,45477,47.70440159845988,10.812939357699152,76.33229297319372,33.67412420149928,66.3258757985007,2011
0016,Ahmadabad (M Corp.) WARD NO.-0016,12946,66470,34856,31614,8294,8130,850,46877,19593,22955,21131,1824,47,570,20457,43515,47.56130585226418,12.477809538137507,70.52354445614563,34.53437641041071,65.46562358958928,2011
0017,Ahmadabad (M Corp.) WARD NO.-0017,13308,66778,35388,31390,7395,7028,846,51072,15706,22928,21063,1865,51,561,20413,43850,47.00649914642547,11.074006409296475,76.48027793584714,34.334661115936385,65.66533888406362,2011
0018,Ahmadabad (M Corp.) WARD NO.-0018,12742,64713,33610,31103,6511,18033,3473,51809,12904,22534,20775,1759,49,166,20523,42179,48.06298579883486,10.061347797196854,80.05964798417628,34.82144236861218,65.17855763138782,2011
0019,Ahmadabad (M Corp.) WARD NO.-0019,10523,55983,29273,26710,6503,5261,530,41870,14113,18352,17151,1201,55,293,16757,37631,47.710912241216086,11.6160262936963,74.7905614204312,32.78138006180448,67.21861993819552,2011
0020,Ahmadabad (M Corp.) WARD NO.-0020,14896,79926,42100,37826,9766,16469,491,58706,21220,27478,25692,1786,65,373,25151,52448,47.32627680604559,12.218802392212796,73.45044165853415,34.379300853289294,65.6206991467107,2011
0021,Ahmadabad (M Corp.) WARD NO.-0021,13491,68670,36028,32642,7373,11690,749,53047,15623,23734,22197,1537,17,568,21563,44936,47.534585699723316,10.73685743410514,77.2491626620067,34.5623998835008,65.4376001164992,2011
0022,Ahmadabad (M Corp.) WARD NO.-0022,18156,88907,47508,41399,9214,16473,1068,70636,18271,29825,28193,1632,48,421,27663,59082,46.56438750604565,10.363638408674232,79.44931220263871,33.54628994342403,66.45371005657597,2011
0023,Ahmadabad (M Corp.) WARD NO.-0023,20538,104358,56177,48181,13499,11575,829,76961,27397,35060,33106,1954,66,409,32562,69298,46.16895686003948,12.935280476820177,73.74710132428754,33.59589106728761,66.40410893271239,2011
0024,Ahmadabad (M Corp.) WARD NO.-0024,25483,124548,65417,59131,14213,8481,4481,93743,30805,44130,39360,4770,169,715,38199,80418,47.47647493335903,11.411664579118092,75.26656389504448,35.43212255515946,64.56787744484053,2011
0025,Ahmadabad (M Corp.) WARD NO.-0025,18372,89953,47708,42245,10625,25600,570,67625,22328,31088,29037,2051,70,841,28044,58865,46.96341422742988,11.811723900259025,75.17814858870744,34.560270363412,65.439729636588,2011
0026,Ahmadabad (M Corp.) WARD NO.-0026,29056,137446,73473,63973,14225,10323,533,113647,23799,46359,43383,2976,77,773,42429,91087,46.54409731821952,10.349519083858388,82.6848362265908,33.72888261571818,66.27111738428184,2011
0027,Ahmadabad (M Corp.) WARD NO.-0027,23919,109922,58050,51872,11935,7348,1065,87744,22178,37391,35035,2356,149,348,34173,72531,47.18982551263623,10.857699095722422,79.82387511144266,34.01593857462564,65.98406142537435,2011
0028,Ahmadabad (M Corp.) WARD NO.-0028,17766,93835,49567,44268,10553,10980,304,73142,20693,32163,30280,1883,117,1219,28886,61672,47.176426706452816,11.246336654766345,77.9474609687217,34.27612298182981,65.7238770181702,2011
0029,Ahmadabad (M Corp.) WARD NO.-0029,13454,76838,40509,36329,10012,11924,309,56521,20317,25907,24190,1717,80,771,23294,50931,47.279991670787894,13.03001119237877,73.55865587339598,33.71639032770244,66.28360967229756,2011
0030,Ahmadabad (M Corp.) WARD NO.-0030,13223,70015,36562,33453,8299,26572,279,53193,16822,24052,22721,1331,67,645,21980,45963,47.779761479682925,11.853174319788616,75.97371991716061,34.35263872027423,65.64736127972577,2011
0031,Ahmadabad (M Corp.) WARD NO.-0031,13684,79409,42181,37228,11164,8070,424,56605,22804,26518,24410,2108,126,661,23557,52891,46.88133586873025,14.058859826971753,71.28285206966464,33.39419964991374,66.60580035008627,2011
0032,Ahmadabad (M Corp.) WARD NO.-0032,16573,80638,43435,37203,9718,19034,818,60420,20218,28346,26895,1451,92,310,26427,52292,46.13581686053722,12.051390163446515,74.92745355787595,35.15216151194226,64.84783848805775,2011
0033,Ahmadabad (M Corp.) WARD NO.-0033,24720,114146,61375,52771,12921,28721,1349,87559,26587,42734,38810,3924,103,870,37761,71412,46.231142571794024,11.319713349569849,76.70790040824909,37.43801797697686,62.56198202302314,2011
0034,Ahmadabad (M Corp.) WARD NO.-0034,28852,137840,74145,63695,15509,7445,867,109729,28111,47527,43346,4181,123,1259,41827,90313,46.20937318630296,11.251450957632036,79.60606500290191,34.479831688914686,65.52016831108531,2011
0035,Ahmadabad (M Corp.) WARD NO.-0035,29817,137543,75020,62523,17248,17493,1127,103038,34505,48793,46187,2606,206,846,45035,88750,45.45705706579034,12.540078375489847,74.91329984077707,35.47472426804708,64.52527573195292,2011
0036,Ahmadabad (M Corp.) WARD NO.-0036,15896,69545,35996,33549,5959,4156,568,58945,10600,25075,24019,1056,73,233,23662,44470,48.24070745560429,8.568552735638795,84.75807031418506,36.055791214321665,63.944208785678335,2011
0037,Ahmadabad (M Corp.) WARD NO.-0037,21516,95481,49342,46139,8854,3282,778,79631,15850,33650,31869,1781,53,327,31389,61831,48.322702946135884,9.27304908830029,83.39983871136666,35.242613713723145,64.75738628627686,2011
0038,Ahmadabad (M Corp.) WARD NO.-0038,13740,67110,34990,32120,6961,20705,694,51184,15926,24068,22025,2043,38,242,21690,43042,47.861719564893455,10.372522723886156,76.26881239755625,35.863507673968115,64.13649232603188,2011
0039,Ahmadabad (M Corp.) WARD NO.-0039,15886,81636,42721,38915,10774,29671,845,55992,25644,28690,26496,2194,391,542,25458,52946,47.668920574256454,13.197608898035181,68.5873879170954,35.14380910382675,64.85619089617326,2011
0040,Ahmadabad (M Corp.) WARD NO.-0040,32026,165731,86391,79340,24163,18448,2044,115770,49961,54584,49744,4840,136,1399,48102,111147,47.87275766151173,14.57965015597565,69.85416126132105,32.935298767279505,67.0647012327205,2011
0041,Ahmadabad (M Corp.) WARD NO.-0041,32763,153558,81250,72308,16181,6330,1635,126276,27282,52807,48473,4334,171,536,47589,100751,47.08839656676956,10.537386524961253,82.2334232016567,34.388960523059694,65.61103947694032,2011
0042,Ahmadabad (M Corp.) WARD NO.-0042,35480,164730,88080,76650,21775,5027,2626,121661,43069,56516,52687,3829,464,669,51044,108214,46.53068657803679,13.218600133551872,73.85479269107023,34.3082620044922,65.69173799550781,2011
0043,Ahmadabad (M Corp.) WARD NO.-0043,34211,159181,84503,74678,17851,15786,2048,125275,33906,55332,51043,4289,142,858,49889,103849,46.91389047687852,11.21427808595247,78.69971918759148,34.76042995081071,65.23957004918928,2011
0044,Ahmadabad (M Corp.) WARD NO.-0044,20757,94077,49903,44174,10833,8590,1938,73959,20118,32150,29606,2544,311,469,28287,61927,46.95515375702882,11.51503555598074,78.61538952134953,34.17413395410143,65.82586604589858,2011
0045,Ahmadabad (M Corp.) WARD NO.-0045,24960,120152,65270,54882,12237,13106,2535,97898,22254,40725,38214,2511,131,476,37445,79427,45.677142286437174,10.184599507290764,81.47846061655237,33.89456688194953,66.10543311805047,2011
0046,Ahmadabad (M Corp.) WARD NO.-0046,26320,120137,64339,55798,14588,4294,1518,94470,25667,42369,38969,3400,220,1960,36617,77768,46.445308273054934,12.14280363251954,78.63522478503708,35.26723657158078,64.73276342841923,2011
0047,Ahmadabad (M Corp.) WARD NO.-0047,47229,206893,108894,97999,19366,4434,1326,174106,32787,73355,69387,3968,146,1654,67334,133538,47.36699646677268,9.360394020097345,84.15267795430488,35.45552531985132,64.54447468014868,2011
0048,Ahmadabad (M Corp.) WARD NO.-0048,21749,98240,51265,46975,9754,3430,1053,80618,17622,35192,32238,2954,688,208,30639,63048,47.81657166123778,9.928745928338763,82.06229641693811,35.82247557003257,64.17752442996742,2011
0049,Ahmadabad (M Corp.) WARD NO.-0049,18529,76574,39235,37339,6223,1315,803,66534,10040,30501,27404,3097,218,313,26709,46073,48.761981873743046,8.12677932457492,86.88850001305927,39.83205787865332,60.16794212134668,2011
0050,Ahmadabad (M Corp.) WARD NO.-0050,22766,95444,48694,46750,8767,4057,732,81024,14420,35868,33523,2345,74,189,33131,59576,48.981601776958215,9.185490968526047,84.89166422195214,37.58015171199866,62.41984828800135,2011
0051,Ahmadabad (M Corp.) WARD NO.-0051,63639,295075,152679,142396,35797,19934,3487,232972,62103,103269,93544,9725,429,1838,90827,191806,48.25756163687198,12.13149199356096,78.95348640176226,34.99754299754299,65.002457002457,2011
0052,Ahmadabad (M Corp.) WARD NO.-0052,14740,72727,37746,34981,10421,7574,850,50705,22022,25263,21498,3765,1159,691,19038,47464,48.099055371457645,14.328928733482751,69.71963644863668,34.73675526283223,65.26324473716777,2011
0053,Ahmadabad (M Corp.) WARD NO.-0053,23200,104001,57706,46295,15185,9869,2117,70159,33842,40747,36148,4599,1096,521,34020,63254,44.513995057739834,14.60082114595052,67.45992826992048,39.179430967009935,60.820569032990065,2011
0054,Ahmadabad (M Corp.) WARD NO.-0054,25824,122449,66019,56430,14492,2200,693,98585,23864,41846,38911,2935,597,806,37062,80603,46.08449231925128,11.83513136081144,80.51106991482168,34.17422763762873,65.82577236237127,2011
0055,Ahmadabad (M Corp.) WARD NO.-0055,32280,153285,82304,70981,17071,7958,815,126225,27060,50695,46631,4064,218,1041,44898,102590,46.3065531526242,11.136771373585152,82.34660925726588,33.07238151156343,66.92761848843656,2011
0056,Ahmadabad (M Corp.) WARD NO.-0056,7339,33824,17792,16032,3520,3262,518,27366,6458,11540,10597,943,104,73,10296,22284,47.39829706717124,10.406811731315042,80.90704824976348,34.117786187322615,65.88221381267739,2011
0057,Ahmadabad (M Corp.) WARD NO.-0057,20436,96266,50365,45901,9493,24153,2070,80798,15468,33448,29552,3896,197,491,28672,62818,47.681424386595474,9.861217875470052,83.9320216899009,34.74539297363555,65.25460702636445,2011
