facility_id,facility_name,description,latitude,longitude,kml_category,geometry,index_right,ward_lgd_code,ward_lgd_name,sourcewardname,sourcewardcode
1,New Muster Office Danilimda,Address: New Muster Office Danilimda - Nr Danilimda Road<br>Latitude: 22.9924866<br>Longitude: 72.5844166,22.9924866,72.5844166,Ward Office,POINT (72.5844166 22.9924866),44,1302536.0,"Danilimda, Ahmedabad (M.Corp.) Ward No. 36",Danilimda,36
2,"Naroda Road , SubZonal Office","Address: SubZonal Office,<br>Nr. Ashok Mill<br>Naroad <br>Latitude: 23.0362944<br>Longitude: 72.6062386",23.0362944,72.6062386,Ward Office,POINT (72.6062386 23.0362944),10,1302522.0,"India colony, Ahmedabad (M.Corp.) Ward No. 22",India colony,22
3,Nikol New Office,Address: Nikol New Office  sub zone <br>Latitude: 23.0533839<br>Longitude: 72.6693675,23.0533839,72.66936750000002,Ward Office,POINT (72.66936750000002 23.0533839),47,1302524.0,"Nikol, Ahmedabad (M.Corp.) Ward No. 24",Nikol,24
4,Ramol-Subzone Muster Office,"Address: Ramol Nr, Jama Masjid Road Ramol<br>Latitude: 22.9785507<br>Longitude: 72.656402",22.9785507,72.656402,Ward Office,POINT (72.656402 22.9785507),4,1302548.0,"Ramol Hathijan, Ahmedabad (M.Corp.) Ward No. 48",Ramol Hathijan,48
5,Shahibaug Ward Office,"Address: Girdharnagar Ward Office, Near. Civil Hospital, Ahmedabad.<br>Latitude: 23.051791<br>Longitude: 72.599129",23.051791,72.599129,Ward Office,POINT (72.599129 23.051791),28,1302516.0,"Shahibag, Ahmedabad (M.Corp.) Ward No. 16",Shahibag,16
6,Lambha Ward Office,"Address: 1, National Highway 8, Narolgam, Ahmedabad, Gujarat<br>Latitude: 22.961994<br>Longitude: 72.591557",22.961994,72.591557,Ward Office,POINT (72.591557 22.961994),2,1302546.0,"Lambha, Ahmedabad (M.Corp.) Ward No. 46",Lambha,46
7,Thakkarbapa Nagar Ward Office,Address: Thakkarbapa Nagar Ward Office<br>Latitude: 23.047155<br>Longitude: 72.643415,23.047155,72.643415,Ward Office,POINT (72.643415 23.047155),7,1302523.0,"Thakkarbapa Nagar, Ahmedabad (M.Corp.) Ward No. 23",Thakkarbapa Nagar,23
8,Khadia Sub Zonal Office,"Address: Near, Panchkuwa road, Ahmedabad<br>Latitude: 23.024967<br>Longitude: 72.597174",23.024967000000004,72.597174,Ward Office,POINT (72.597174 23.024967000000004),43,1302528.0,"Khadiya, Ahmedabad (M.Corp.) Ward No. 28",Khadia,28
9,Navrangpura,"Address: 5, Navrangpura Marg, Swastik Society, Navrangpura, Ahmedabad, Gujarat 380009, India<br>Latitude: 23.036283<br>Longitude:  72.56300099999999",23.036283,72.56300099999999,Ward Office,POINT (72.56300099999999 23.036283),22,1302518.0,"Navrangpura, Ahmedabad (M.Corp.) Ward No. 18",Navrangpura,18
10,Raikhad,"Address: Raikhad Cahar Nadika Daravaj Road, Raikhad, <br>Latitude: 23.0192512<br>Longitude:  72.5802711",23.0192512,72.5802711,Ward Office,POINT (72.5802711 23.0192512),42,1302529.0,"Jamalpur, Ahmedabad (M.Corp.) Ward No. 29",Jamalpur,29
