objectid,facilityname,facilitytype,landline,address,street,landmark,locality,subdistrict,district,state,posatalcode,country,geometry,index_right,ward_lgd_code,ward_lgd_name,sourcewardname,sourcewardcode
11444,Trent,Sub Centre,,Sub Centre Trent,,,Ta. Mandal,Mandal,Ahmadabad,Gujarat,382130,India,POINT (72.00975895035597 23.22036620021045),,,,,
11656,Manipura,Primary Health Centre,02715-252211,Primary Health Centre MANIPURA,,,Ta. Viramgam,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (72.15116999965043 23.193689999944258),,,,,
11660,Nadiyana,Sub Centre,,Sub Centre NADIYANA,Thakorvas Nadiyana,,Ta. Viramgam,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (72.10275400024553 23.18818899977601),,,,,
11692,Ukhalod,Sub Centre,,Sub Centre UKHALOD,Bhdana road,,Ta. Viramgam,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (72.04138200014637 23.218095999643378),,,,,
11701,Dhakdi,Sub Centre,,Sub Centre DHAKDI,,,Ta. Viramgam,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (71.98177800040907 23.181766999654386),,,,,
12037,Bavla-1,Sub Centre,,Sub Centre Bavla 1,Chc Campus,Bavla Cross Road,Ta. Bavla,Bavla,Ahmadabad,Gujarat,382220,India,POINT (72.36378109974925 22.829792699688785),,,,,
12041,Nanodara,Sub Centre,,Sub Centre Nanodara,Phc Building,Near Pond,Ta. Bavla,Bavla,Ahmadabad,Gujarat,382220,India,POINT (72.20571899962091 22.829161999677478),,,,,
12044,Devadthal,Sub Centre,,Sub Centre Devadthal,Anganwadi Center,Near Primary School,Ta. Bavla,Bavla,Ahmadabad,Gujarat,382230,India,POINT (72.12397400029374 22.76373299963061),,,,,
12045,Rupal,Sub Centre,,Sub Center Rupal,Indira Nagar,Nr Hajipir Dargah,Ta. Bavla,Bavla,Ahmadabad,Gujarat,382220,India,POINT (72.36371599973893 22.80042699992279),,,,,
12055,Dholka,Sub Centre,9099064477,Sub Centre Dholka,,Near Bus Station Bholad,Ta. Dholka,Dholka,Ahmadabad,Gujarat,382225,India,POINT (72.44356700010424 22.742843000108245),,,,,
12058,Ambalyara,Primary Health Centre,9099064453,Primary Health Center AMBALIYARA,,Bus Stop Ambaliyara,TA. Dholka,Dholka,Ahmadabad,Gujarat,382225,India,POINT (72.50051649973653 22.7686940999143),,,,,
12062,Chiyada,Sub Centre,,Sub Centre Chiyada,Nr. Ramdev Temple,,Ta. Bavla,Bavla,Ahmadabad,Gujarat,382220,India,POINT (72.35257199978744 22.75629499991854),,,,,
12065,Adroda,Sub Centre,,Sub Centre Adroda,"Bavla, Nanodara Road",Nr. Water Tank,Ta. Bavla,Bavla,Ahmadabad,Gujarat,382220,India,POINT (72.30151210039789 22.818828699739715),,,,,
12079,Badarkha-2,Sub Centre,9099064470,Subcentre Badarkha -2,Moto Dodvaas,Badarkha Kanya Kumar School,TA. Dholka,Dholka,Ahmadabad,Gujarat,382225,India,POINT (72.45083000044889 22.840458000213182),,,,,
12089,Mandal-3,Sub Centre,,Sub Centre Mandal 3,,near CHC Mandal,,Mandal,Ahmadabad,Gujarat,382130,India,POINT (71.91815699972419 23.288035000142646),,,,,
12103,Dekavada,Sub Centre,02715-242300,Sub Centre Dekavada,,,Ta. Detroj-Rampura,Detroj Rampura,Ahmadabad,Gujarat,387212,India,POINT (72.15940474985871 23.35454897011657),,,,,
12105,Solgam,Sub Centre,,"Subcenter, Solgam",,Near Panchayat,,Mandal,Ahmadabad,Gujarat,382130,India,POINT (72.02101349968126 23.323577539917764),,,,,
12107,Detroj,Sub Centre,02715-255355,Sub Centre Detroj,,,Ta. Detroj-Rampura,Detroj Rampura,Ahmadabad,Gujarat,382120,India,POINT (72.18834879979141 23.33439039994697),,,,,
12109,Rampura,Sub Centre,02715-254034,Sub Centre Rampura,,,Ta. Detroj-Rampura,Detroj Rampura,Ahmadabad,Gujarat,382140,India,POINT (72.18430000027938 23.339973999993052),,,,,
12124,Andala,Sub Centre,,Sub Centre Andala,Thakorvas,,Ta. Mandal,Mandal,Ahmadabad,Gujarat,382130,India,POINT (72.04832910971804 23.28207396023506),,,,,
12125,Ribadi,Sub Centre,,"Subcenter, Ribdi",Patelvas,,Ta. Mandal,Mandal,Ahmadabad,Gujarat,382130,India,POINT (72.01461600006171 23.29225399984448),,,,,
12400,Vanch,Sub Centre,,Sub Centre Vanch,Bibipura,Nr. Panchayat,Ta. Daskroi,Daskroi,Ahmadabad,Gujarat,382435,India,POINT (72.68976449979363 22.942592100356848),,,,,
12404,Aslali,Primary Health Centre,9099064117,Primary Health Centre Aslali,Nr. Aslali Panchayat,Swaminarayan Temple,Ta. Daskroi,Daskroi,Ahmadabad,Gujarat,382427,India,POINT (72.59441899987833 22.912454000383963),,,,,
12405,Changodar,Sub Centre,,SubCentre Changodar,,,Ta. Sanand,Sanand,Ahmadabad,Gujarat,382210,India,POINT (72.4406086996516 22.918115100163657),,,,,
12411,Paldi-kankaj,Sub Centre,9099064130,Sub Centre Paldi-Kankaj,Pladi Kankaj Panchyat,Nakalang Mahadev Temple,Ta. Daskroi,Daskroi,Ahmadabad,Gujarat,382425,India,POINT (72.52196860019964 22.899168599892082),,,,,
12413,Vislapur,Sub Centre,9099064172,Sub Centre VISALPUR,,Behind School,Ta. Daskroi,Daskroi,Ahmadabad,Gujarat,382210,India,POINT (72.48498609991455 22.926024600243633),,,,,
12415,Shahpur,Sub Centre,,Sub Centre SHAHPUR,,,Ta. Viramgam,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (72.01820799996354 22.879513000315583),,,,,
12416,Bavla,Community Health Centre,2714232557,Bavla CROSS ROAD,Opp. Pravin Petrol Pump,Bavla Cross Road,"Bavla, Ahmedabad",Bavla,Ahmadabad,Gujarat,382220,India,POINT (72.21918999997598 22.853799999659838),,,,,
12419,Jetalpur,Sub Centre,,Sub Centre Jetalpur,near NSIT College,Jetalpur Chosar Road,Ta. Daskroi,Daskroi,Ahmadabad,Gujarat,382427,India,POINT (72.60289800021576 22.88773899973252),,,,,
12420,Bareja-2,Sub Centre,,Sabcentre Bareja-2,Near Prakash high School,Opp Bus STAND Bareja,Ta. Daskroi,Daskroi,Ahmadabad,Gujarat,382425,India,POINT (72.59179649956036 22.854508599913835),,,,,
12426,Kavitha,Sub Centre,,Sub Centre Kavitha,Nr. Panchayat Office,Opp Bapa Sitaram Temple,Ta. Bavla,Dholka,Ahmadabad,Gujarat,382260,India,POINT (72.43632899987391 22.84385900033145),,,,,
12428,Kamijala,Sub Centre,,Sub Centre KAMIJLA,,Near Panchayat Office,Ta. Viramgam,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (72.01718619956551 22.93557519994237),,,,,
12429,Chacharvadi Vasna,Sub Centre,,SubCentre Chacharvadi Vasna,,,Ta Sanand,Daskroi,Ahmadabad,Gujarat,382210,India,POINT (72.46034729964286 22.875499299810475),,,,,
12436,Daran,Sub Centre,,Subcenter Daran,,,Ta. Sanand,Sanand,Ahmadabad,Gujarat,382220,India,POINT (72.34918199955197 22.86971200018705),,,,,
12437,Barejadi,Sub Centre,,Sub Centre Barejadi,Barejadi Nr. Anganwadi,Barejadi School,Ta. Daskroi,Daskroi,Ahmadabad,Gujarat,382435,India,POINT (72.67867960000468 22.89453100005664),,,,,
12439,Rajoda,Sub Centre,,Sub Center Rajoda,Nr. Aadarsh Primary School,Nr. Visat Mata Temple,Ta. Bavla,Bavla,Ahmadabad,Gujarat,382220,India,POINT (72.38390399991737 22.85036099968293),,,,,
12440,Ghoda,Sub Centre,,Sub Centre Ghoda,,,Ta. Viramgam,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (72.0692689997893 22.947075000394257),,,,,
12443,Gujala,Sub Centre,02715-242300,Sub Centre Gujala,,,Ta. Detroj-Rampura,Detroj Rampura,Ahmadabad,Gujarat,382120,India,POINT (72.13073730018519 23.419148019830196),,,,,
12444,Vithalapur,Sub Centre,,Sub Centre Vithalapur,,Near bank of baroda,,Mandal,Ahmadabad,Gujarat,382120,India,POINT (72.0540690003288 23.36421099964792),,,,,
12449,Odhav,Sub Centre,02715-242300,Sub Centre Odhav,,,Ta. Detroj-Rampura,Detroj Rampura,Ahmadabad,Gujarat,382120,India,POINT (72.1321105996758 23.40654580015468),,,,,
12463,Balsasan,Sub Centre,02715-242300,Sub Centre Balsasan,,,Ta. Detroj-Rampura,Detroj Rampura,Ahmadabad,Gujarat,382120,India,POINT (72.27634879988294 23.41562779972689),,,,,
12477,Zanzarva,Sub Centre,,Sub Centre ZANZARAVA,,Near Primary School Zanzarava,Ta -Mandal,Mandal,Ahmadabad,Gujarat,382130,India,POINT (72.05805500041593 23.417829999902853),,,,,
12483,Vithalapur,Primary Health Centre,(02715)240120,Primary Health Centre Vithalpur,,Near taluka panchayat,Ta. Mandal,Mandal,Ahmadabad,Gujarat,382120,India,POINT (72.0540690003288 23.367184999649858),,,,,
