day_of_year,n_samples,utci_mean,utci_p50,utci_p90,utci_p95,utci_p98,utci_sd,night_temp_mean
1,458,30.46,30.7,33.4,34.1,34.7,2.58,16.26
2,458,30.41,30.7,33.43,34.1,34.7,2.61,16.21
3,458,30.37,30.7,33.5,34.1,34.7,2.65,16.17
4,458,30.38,30.7,33.53,34.21,34.96,2.7,16.14
5,458,30.41,30.6,33.7,34.3,34.97,2.73,16.14
6,458,30.4,30.6,33.7,34.21,34.97,2.75,16.13
7,458,30.42,30.6,33.7,34.3,34.99,2.7,16.11
8,458,30.48,30.6,33.73,34.3,35.0,2.68,16.11
9,450,30.54,30.6,33.8,34.51,35.1,2.69,16.08
10,450,30.58,30.6,34.0,34.66,35.2,2.72,16.06
11,450,30.6,30.7,34.0,34.7,35.2,2.75,16.03
12,450,30.63,30.8,34.0,34.7,35.3,2.78,16.01
13,450,30.69,30.9,34.1,34.7,35.3,2.79,16.01
14,450,30.74,31.05,34.1,34.7,35.3,2.76,16.0
15,450,30.81,31.1,34.2,34.8,35.3,2.76,15.97
16,450,30.87,31.1,34.21,34.9,35.3,2.71,15.93
17,450,30.88,31.1,34.3,34.95,35.4,2.7,15.92
18,450,30.92,31.1,34.31,35.0,35.4,2.68,15.92
19,450,30.91,31.05,34.4,35.0,35.4,2.67,15.92
20,450,30.9,31.0,34.41,35.05,35.5,2.67,15.9
21,450,30.92,31.0,34.5,35.05,35.5,2.66,15.9
22,450,30.96,31.1,34.51,35.1,35.7,2.71,15.89
23,450,31.03,31.2,34.6,35.2,35.7,2.72,15.9
24,450,31.13,31.3,34.61,35.2,35.9,2.68,15.94
25,450,31.26,31.35,34.7,35.3,36.0,2.7,15.99
26,450,31.38,31.5,34.8,35.4,36.1,2.72,16.09
27,450,31.52,31.65,35.0,35.7,36.4,2.74,16.2
28,450,31.62,31.8,35.1,35.81,36.5,2.76,16.28
29,450,31.76,31.95,35.21,36.0,36.5,2.78,16.36
30,450,31.88,32.2,35.4,36.05,36.6,2.8,16.42
31,450,31.98,32.4,35.5,36.1,36.6,2.86,16.5
32,450,32.09,32.5,35.5,36.1,36.6,2.9,16.55
33,450,32.2,32.6,35.7,36.2,36.8,2.92,16.6
34,450,32.32,32.75,35.8,36.35,36.9,2.93,16.67
35,450,32.45,32.9,36.0,36.45,36.9,2.9,16.76
36,450,32.65,33.0,36.1,36.6,37.0,2.86,16.85
37,450,32.8,33.15,36.2,36.85,37.3,2.85,17.0
38,450,32.94,33.3,36.31,37.0,37.4,2.87,17.15
39,450,33.05,33.4,36.51,37.0,37.6,2.89,17.29
40,450,33.18,33.5,36.61,37.2,37.7,2.94,17.41
41,450,33.33,33.7,36.9,37.3,38.1,2.99,17.53
42,450,33.48,33.8,37.0,37.6,38.4,3.06,17.63
43,450,33.69,34.0,37.2,37.85,38.71,3.12,17.76
44,450,33.9,34.3,37.4,38.16,39.0,3.15,17.89
45,450,34.12,34.55,37.71,38.4,39.5,3.17,18.05
46,450,34.37,34.8,38.0,38.6,39.7,3.13,18.22
47,450,34.61,35.0,38.11,38.75,39.8,3.05,18.41
48,450,34.82,35.2,38.3,38.95,40.0,2.96,18.61
49,450,35.07,35.3,38.4,39.2,40.1,2.88,18.8
50,450,35.3,35.6,38.6,39.3,40.1,2.86,18.98
51,450,35.53,35.9,38.8,39.55,40.2,2.88,19.14
52,450,35.76,36.1,39.2,40.0,40.5,2.87,19.3
53,450,35.98,36.4,39.4,40.1,40.6,2.95,19.45
54,450,36.22,36.6,39.61,40.2,40.8,2.95,19.59
