sourcewardcode,sourcewardname,kml_category,facility_count
1,Gota,Ward Office,1
10,S. P. Stadium,Municipal Gym,2
10,S. P. Stadium,Swimming Pools,2
10,S. P. Stadium,Ward Office,1
10,S. P. Stadium,Zonal Office,1
11,Sardar Nagar,Ward Office,1
11,Sardar Nagar,library,1
12,Naroda,Municipal Gym,1
12,Naroda,Ward Office,1
12,Naroda,library,1
13,Saijpur Bogha,Municipal Gym,2
13,Saijpur Bogha,Ward Office,1
13,Saijpur Bogha,Zonal Office,1
13,Saijpur Bogha,library,2
14,Kuber Nagar,Municipal Gym,1
14,Kuber Nagar,Ward Office,1
14,Kuber Nagar,library,1
15,Asarwa,Swimming Pools,1
15,Asarwa,Ward Office,1
15,Asarwa,library,2
16,Shahibag,Municipal Gym,3
16,Shahibag,Swimming Pools,1
16,Shahibag,Ward Office,1
16,Shahibag,library,4
17,Shahpur,Municipal Gym,1
17,Shahpur,Ward Office,1
17,Shahpur,library,1
18,Navrangpura,Municipal Gym,2
18,Navrangpura,Ward Office,1
18,Navrangpura,library,3
19,Bodakdev,Municipal Gym,1
19,Bodakdev,Ward Office,1
19,Bodakdev,Zonal Office,1
19,Bodakdev,library,1
2,Chandlodiya,Ward Office,1
20,Jodhpur,Municipal Gym,1
20,Jodhpur,Ward Office,1
20,Jodhpur,library,2
21,Dariyapur,Municipal Gym,3
21,Dariyapur,Swimming Pools,1
21,Dariyapur,Ward Office,1
21,Dariyapur,library,4
22,India colony,Ward Office,1
22,India colony,library,1
23,Thakkarbapa Nagar,Ward Office,1
23,Thakkarbapa Nagar,library,1
24,Nikol,Ward Office,1
25,Virat Nagar,Municipal Gym,1
25,Virat Nagar,Zonal Office,1
25,Virat Nagar,library,1
26,Bapu Nagar,Ward Office,1
26,Bapu Nagar,library,2
27,Saraspur-Rakhiyal,Municipal Gym,2
27,Saraspur-Rakhiyal,Swimming Pools,1
27,Saraspur-Rakhiyal,Ward Office,1
27,Saraspur-Rakhiyal,library,2
28,Khadia,Municipal Gym,2
28,Khadia,Swimming Pools,1
28,Khadia,Ward Office,1
28,Khadia,Zonal Office,1
28,Khadia,library,4
29,Jamalpur,Municipal Gym,3
29,Jamalpur,Ward Office,1
29,Jamalpur,library,3
3,Chandkheda,Municipal Gym,1
3,Chandkheda,Ward Office,1
30,Paldi,Ward Office,1
30,Paldi,library,2
31,Vasna,Municipal Gym,1
31,Vasna,Swimming Pools,1
31,Vasna,Ward Office,1
32,Vejalpur,Ward Office,1
33,Sarkhej,Ward Office,1
34,Maktampura,Ward Office,1
35,Baherampura,Ward Office,1
35,Baherampura,library,1
36,Danilimda,Ward Office,1
36,Danilimda,library,1
37,Mani Nagar,Municipal Gym,3
37,Mani Nagar,Swimming Pools,1
37,Mani Nagar,Ward Office,1
37,Mani Nagar,Zonal Office,1
37,Mani Nagar,library,3
38,Gomtipur,Ward Office,1
38,Gomtipur,library,1
39,Amraiwadi,Municipal Gym,1
39,Amraiwadi,Ward Office,1
39,Amraiwadi,library,5
4,Sabarmati,Municipal Gym,1
4,Sabarmati,Swimming Pools,1
4,Sabarmati,Ward Office,1
4,Sabarmati,library,2
40,Odhav,Municipal Gym,1
40,Odhav,Swimming Pools,1
40,Odhav,Ward Office,1
40,Odhav,library,1
41,Vastral,Ward Office,1
42,Indrapuri,Municipal Gym,2
42,Indrapuri,Swimming Pools,1
42,Indrapuri,Ward Office,1
42,Indrapuri,library,1
43,Bhaipura Hatkeshwar,Ward Office,1
44,Khokhra,Municipal Gym,1
44,Khokhra,Swimming Pools,1
44,Khokhra,Ward Office,1
44,Khokhra,library,3
45,Isanpur,Municipal Gym,1
45,Isanpur,Ward Office,1
46,Lambha,Ward Office,1
47,Vatva,Ward Office,1
47,Vatva,library,1
48,Ramol Hathijan,Ward Office,1
5,Ranip,Ward Office,1
6,New Wadaj,Municipal Gym,1
6,New Wadaj,Swimming Pools,1
6,New Wadaj,Ward Office,1
6,New Wadaj,library,1
7,Ghatlodia,Municipal Gym,1
7,Ghatlodia,Ward Office,1
7,Ghatlodia,library,1
8,Thaltej,Ward Office,1
9,Naranpura,Ward Office,1
9,Naranpura,library,3
