ward_code,ward_name,total_facilities,ward_offices,libraries,municipal_gyms,swimming_pools,zonal_offices
1,Gota,1,1,0,0,0,0
2,Chandlodiya,1,1,0,0,0,0
3,Chandkheda,2,1,0,1,0,0
4,Sabarmati,5,1,2,1,1,0
5,Ranip,1,1,0,0,0,0
6,New Wadaj,4,1,1,1,1,0
7,Ghatlodia,3,1,1,1,0,0
8,Thaltej,1,1,0,0,0,0
9,Naranpura,4,1,3,0,0,0
10,S. P. Stadium,6,1,0,2,2,1
11,Sardar Nagar,2,1,1,0,0,0
12,Naroda,3,1,1,1,0,0
13,Saijpur Bogha,6,1,2,2,0,1
14,Kuber Nagar,3,1,1,1,0,0
15,Asarwa,4,1,2,0,1,0
16,Shahibag,9,1,4,3,1,0
17,Shahpur,3,1,1,1,0,0
18,Navrangpura,6,1,3,2,0,0
19,Bodakdev,4,1,1,1,0,1
20,Jodhpur,4,1,2,1,0,0
21,Dariyapur,9,1,4,3,1,0
22,India colony,2,1,1,0,0,0
23,Thakkarbapa Nagar,2,1,1,0,0,0
24,Nikol,1,1,0,0,0,0
25,Virat Nagar,3,0,1,1,0,1
26,Bapu Nagar,3,1,2,0,0,0
27,Saraspur-Rakhiyal,6,1,2,2,1,0
28,Khadia,9,1,4,2,1,1
29,Jamalpur,7,1,3,3,0,0
30,Paldi,3,1,2,0,0,0
31,Vasna,3,1,0,1,1,0
32,Vejalpur,1,1,0,0,0,0
33,Sarkhej,1,1,0,0,0,0
34,Maktampura,1,1,0,0,0,0
35,Baherampura,2,1,1,0,0,0
36,Danilimda,2,1,1,0,0,0
37,Mani Nagar,9,1,3,3,1,1
38,Gomtipur,2,1,1,0,0,0
39,Amraiwadi,7,1,5,1,0,0
40,Odhav,4,1,1,1,1,0
41,Vastral,1,1,0,0,0,0
42,Indrapuri,5,1,1,2,1,0
43,Bhaipura Hatkeshwar,1,1,0,0,0,0
44,Khokhra,6,1,3,1,1,0
45,Isanpur,2,1,0,1,0,0
46,Lambha,1,1,0,0,0,0
47,Vatva,2,1,1,0,0,0
48,Ramol Hathijan,1,1,0,0,0,0
