ward_code,ward_name,health_centre_count,hospital_count,clinic_count,total_health_facilities
1,Gota,1,1,0,2
2,Chandlodiya,0,0,0,0
3,Chandkheda,2,0,0,2
4,Sabarmati,2,1,0,3
5,Ranip,1,0,0,1
6,New Wadaj,1,0,0,1
7,Ghatlodia,2,0,0,2
8,Thaltej,1,0,0,1
9,Naranpura,1,0,0,1
10,S. P. Stadium,2,0,0,2
11,Sardar Nagar,1,0,0,1
12,Naroda,2,0,0,2
13,Saijpur Bogha,1,0,0,1
14,Kuber Nagar,2,0,0,2
15,Asarwa,0,1,0,1
16,Shahibag,2,0,0,2
17,Shahpur,2,0,0,2
18,Navrangpura,3,0,0,3
19,Bodakdev,1,0,0,1
20,Jodhpur,1,0,0,1
21,Dariyapur,2,0,0,2
22,India colony,2,0,0,2
23,Thakkarbapa Nagar,1,0,0,1
24,Nikol,2,0,0,2
25,Virat Nagar,0,0,0,0
26,Bapu Nagar,2,0,0,2
27,Saraspur-Rakhiyal,1,1,0,2
28,Khadia,2,0,0,2
29,Jamalpur,2,0,0,2
30,Paldi,1,1,0,2
31,Vasna,1,0,0,1
32,Vejalpur,0,0,0,0
33,Sarkhej,1,0,0,1
34,Maktampura,2,0,0,2
35,Baherampura,1,0,0,1
36,Danilimda,1,0,0,1
37,Mani Nagar,2,1,0,3
38,Gomtipur,2,0,0,2
39,Amraiwadi,1,0,0,1
40,Odhav,1,0,0,1
41,Vastral,0,0,0,0
42,Indrapuri,1,0,0,1
43,Bhaipura Hatkeshwar,1,0,0,1
44,Khokhra,1,0,0,1
45,Isanpur,0,0,0,0
46,Lambha,3,0,0,3
47,Vatva,3,0,0,3
48,Ramol Hathijan,1,0,0,1
