sourcewardcode,sourcewardname,facilitytype,facility_count
1,Gota,District Hospital,1
1,Gota,Primary Health Centre,1
10,S. P. Stadium,Primary Health Centre,2
11,Sardar Nagar,Primary Health Centre,1
12,Naroda,Primary Health Centre,2
13,Saijpur Bogha,Primary Health Centre,1
14,Kuber Nagar,Primary Health Centre,2
15,Asarwa,District Hospital,1
16,Shahibag,Primary Health Centre,2
17,Shahpur,Primary Health Centre,2
18,Navrangpura,Primary Health Centre,2
18,Navrangpura,Sub Centre,1
19,Bodakdev,Primary Health Centre,1
20,Jodhpur,Primary Health Centre,1
21,Dariyapur,Primary Health Centre,1
21,Dariyapur,Sub Centre,1
22,India colony,Primary Health Centre,2
23,Thakkarbapa Nagar,Primary Health Centre,1
24,Nikol,Primary Health Centre,1
24,Nikol,Sub Centre,1
26,Bapu Nagar,Primary Health Centre,1
26,Bapu Nagar,Sub Centre,1
27,Saraspur-Rakhiyal,Primary Health Centre,1
27,Saraspur-Rakhiyal,STH,1
28,Khadia,Primary Health Centre,2
29,Jamalpur,Primary Health Centre,2
3,Chandkheda,Primary Health Centre,2
30,Paldi,District Hospital,1
30,Paldi,Primary Health Centre,1
31,Vasna,Primary Health Centre,1
33,Sarkhej,Primary Health Centre,1
34,Maktampura,Primary Health Centre,1
34,Maktampura,Sub Centre,1
35,Baherampura,Primary Health Centre,1
36,Danilimda,Primary Health Centre,1
37,Mani Nagar,Primary Health Centre,2
37,Mani Nagar,STH,1
38,Gomtipur,Primary Health Centre,2
39,Amraiwadi,Primary Health Centre,1
4,Sabarmati,Primary Health Centre,1
4,Sabarmati,STH,1
4,Sabarmati,Sub Centre,1
40,Odhav,Primary Health Centre,1
42,Indrapuri,Primary Health Centre,1
43,Bhaipura Hatkeshwar,Primary Health Centre,1
44,Khokhra,Primary Health Centre,1
46,Lambha,Primary Health Centre,3
47,Vatva,Primary Health Centre,1
47,Vatva,Sub Centre,2
48,Ramol Hathijan,Primary Health Centre,1
5,Ranip,Primary Health Centre,1
6,New Wadaj,Primary Health Centre,1
7,Ghatlodia,Primary Health Centre,2
8,Thaltej,Primary Health Centre,1
9,Naranpura,Sub Centre,1
