ward_id,ward_name,risk_increase_percent,heat_risk
1,Gota,0.0,0.0
10,S. P. Stadium,0.0,0.0
11,Sardar Nagar,0.0,0.0
12,Naroda,0.0,0.0
13,Saijpur Bogha,0.0,0.0
14,Kuber Nagar,0.0,0.0
15,Asarwa,0.0,0.0
16,Shahibag,0.0,0.0
17,Shahpur,0.0,0.0
18,Navrangpura,0.0,0.0
19,Bodakdev,0.0,0.0
2,Chandlodiya,0.0,0.0
20,Jodhpur,0.0,0.0
21,Dariyapur,0.0,0.0
22,India colony,0.0,0.0
23,Thakkarbapa Nagar,0.0,0.0
24,Nikol,0.0,0.0
25,Virat Nagar,0.0,0.0
26,Bapu Nagar,0.0,0.0
27,Saraspur-Rakhiyal,0.0,0.0
28,Khadia,0.0,0.0
29,Jamalpur,0.0,0.0
3,Chandkheda,0.0,0.0
30,Paldi,0.0,0.0
31,Vasna,0.0,0.0
32,Vejalpur,0.0,0.0
33,Sarkhej,0.0,0.0
34,Maktampura,0.0,0.0
35,Baherampura,0.0,0.0
36,Danilimda,0.0,0.0
37,Mani Nagar,0.0,0.0
38,Gomtipur,0.0,0.0
39,Amraiwadi,0.0,0.0
4,Sabarmati,0.0,0.0
40,Odhav,0.0,0.0
41,Vastral,0.0,0.0
42,Indrapuri,0.0,0.0
43,Bhaipura Hatkeshwar,0.0,0.0
44,Khokhra,0.0,0.0
45,Isanpur,0.0,0.0
46,Lambha,0.0,0.0
47,Vatva,0.0,0.0
48,Ramol Hathijan,0.0,0.0
5,Ranip,0.0,0.0
6,New Wadaj,0.0,0.0
7,Ghatlodia,0.0,0.0
8,Thaltej,0.0,0.0
9,Naranpura,0.0,0.0
